name,url
Kathi Roll Factory,https://swiggy.com/restaurants/kathi-roll-factory-shanti-park-mira-road-mumbai-647671
Raju Pav Bhaji and Chinese,https://swiggy.com/restaurants/raju-pav-bhaji-and-chinese-chincholi-bunder-road-malad-kan-west-mumbai-652144
Shivansh Kitchen,https://swiggy.com/restaurants/shivansh-kitchen-malad-kandivali-west-mumbai-398827
Magic Pancakes,https://swiggy.com/restaurants/magic-pancakes-chikuwadi-borivali-mumbai-628742
Power Smoothies	,https://swiggy.com/restaurants/power-smoothies-link-road-borivali-mumbai-641913
Wafflespoon,https://swiggy.com/restaurants/wafflespoon-mahavir-nagar-mumbai-588664
Bao Bao,https://swiggy.com/restaurants/bao-bao-west-kandivali-mumbai-647610
FB Cafe By Frozen Bottle,https://swiggy.com/restaurants/fb-cafe-by-frozen-bottle-kandivali-east-thakur-village-mumbai-611605
Mrs Pizzeria,https://swiggy.com/restaurants/mrs-pizzeria-bangur-nagar-jog-gor-west-mumbai-613870
Cravings all day,https://swiggy.com/restaurants/cravings-all-day-malad-kan-west-goregaon-west-mumbai-592679
Oh Soy,https://swiggy.com/restaurants/oh-soy-malad-west-mumbai-351152
Mele Babu Ne Thana Thaya Kya,https://swiggy.com/restaurants/mele-babu-ne-thana-thaya-kya-g-d-ward-jog-gor-east-mumbai-644046
GetAWay - Healthy Ice Creams,https://swiggy.com/restaurants/getaway-healthy-ice-creams-kandivali-borivali-mumbai-618226
Falooda Nation,https://swiggy.com/restaurants/falooda-nation-shanti-park-mira-road-mumbai-654065
The Grove Kitchen And Bar,https://swiggy.com/restaurants/the-grove-kitchen-and-bar-mithagar-road-dahisar-mumbai-647682
British Brewing Company,https://swiggy.com/restaurants/british-brewing-company-oberoi-mall-jog-gor-east-mumbai-16028
Cococart,https://swiggy.com/restaurants/cococart-yashodham-jog-gor-east-mumbai-611849
The Nature Bar,https://swiggy.com/restaurants/the-nature-bar-the-nature-bar-jog-gor-east-mumbai-457385
Suraj Lama Momos	,https://swiggy.com/restaurants/suraj-lama-momos-goregaon-jog-gor-east-mumbai-650091
